Skill;Domanda;Riposta1;Risposta2;Risposta3;Risposta esatta
AWS;You have an application using a 100 GB MySQL database that you are migrating into AWS. What should you consider when deciding between whether to host the database on RDS for MySQL or Aurora?;cost;ease of maintenance vs. granularity of control;the current storage engine used by the application, such as InnoDB or MyISAM;all of these answers  
AWS;Which database is a NoSQL database type that can quickly store and retrieve key-value pairs?;Aurora;Neptune;RDS for MySQL;DynamoDB
AWS;Your database is an RDS instance running SQL Server with Multi-AZ replication and you have several older .NET console utilities that perform database operations every 15 seconds. When the cluster has to switch the primary database server to the secondary AZ, the .NET utilities start to report connection failures to the database although other applications are able to access the database. How do you correct this problem?;Use the RDS console to force a reboot of the database instance so that the primary server becomes the master server again.;The server running the .NET utilities is caching the DNS lookup on the database cluster address. Flush the DNS cache of the server and force the C# utilities to open new connections to the database.;A.NET application will retain the IP address of a connection string until the host machine is rebooted.;The NET utilities need to change the SQL Server endpoint in the connection strings to read from the secondary database server using a try/catch.
AWS;What AWS services can help you automate your development pipeline for continuous integration and continuous deployment?;CodePipeline;CodeDeploy;CodeBuild;all of these answers  
AWS; Which AWS service complies with the standards outlined in Payment Card Industry Data Security Standard (PCI DSS) Level 1 for the handling and transmission of credit card data?;API Gateway;Simple Queue Service (SQS);Kinesis Data Streams;all of these answers  
AWS;You have a large amount of files on your network-attached storage array that must be archived and maintained for a period of 10 years due to industry regulations. This data will be infrequently accessed but must be kept What is the best AWS service for storing this data?;EFS;Snowball;OEBS;S3 Glacier
AWS;For your AWS root account, you have generated a random password of the maximum allowed length and included special characters. Which additional steps should you take to secure your AWS root account?;Create an AM role for the account administrator with the highest privileges. Do not store the root password, but when the root account is needed reset the password on the root account via email confirmation and repeat this procedure.;Store your randomly generated password in your organizational secrets database using a service such as 1Password or LastPass, and only grant access to this secret to the DevOps team.;Create IAM accounts for your administrators and attach the AdministratorAccess policy to their accounts. Disable the root account in the user settings.;Create an IAM role for the account administrator with the highest privileges and do not use the root account in day-today operations. Enable two-factor authentication on the root account
AWS;Which Elastic Load Balancing option supports Lambda as a target?;Network Load Balancer;Lambda can not be called directly by incoming web requests. You must use API Gateway.;Classic Load Balancer;Application Load Balancer
AWS;How do you architect a solution for an SQL Server database to be replicated across AWS regions in an active-active architecture?;Use RDS for SQL Server and create the same instance in two different regions. Use Database Migration Service to keep each database in sync.;Use a VPN or VPC peering to establish a connection between the VPCs in each region. Install SQL Server Enterprise Edition on EC2 instances in each region and configure an Always On availability group.;You can not set up an active-active architecture for SQL Server that spans geographic regions.;Use RDS for SQL Server 2016 or 2017 Enterprise Edition. Enable Multi-AZ support and select the Mirroring/Always On option. Select another region for the mirroring option.
AWS;Which AWS service can be used to help generate the documentation required by various compliance standards, such as Payment Card Industry Data Security Standard (PCI DSS) Level 1 for the handling of credit card data?;Secrets Manager;Print out the AWS Compliance summary and keep it with your required documentation for an audit.;DocumentDB;Artifact
AZURE;Your application hosted in Azure App Service needs to retrieve secrets from Azure Key Vault. Which choice is NOT a way to authenticate to Key Vault?;service principal and a certificate;managed identity;service principal and a secret;shared access key
